,Random_Knn_F1,Random_Lightgbm_F1,Random_GradientBoosting_F1,Random_Catboost_F1,Uncertainty_Knn_F1,Uncertainty_Lightgbm_F1,Uncertainty_GradientBoosting_F1,Uncertainty_Catboost_F1,Random_Knn_kappa,Random_Lightgbm_kappa,Random_GradientBoosting_kappa,Random_Catboost_kappa,Uncertainty_Knn_kappa,Uncertainty_Lightgbm_kappa,Uncertainty_GradientBoosting_kappa,Uncertainty_Catboost_kappa
146,0.848276978,0.864900662,0.875035806,0.973602636,0.798769148,0.883666442,0.883514454,0.995248573,0.78667565,0.816010765,0.831823125,0.963015676,0.722316544,0.842840482,0.84266235,0.993278595
147,0.848304427,0.870952672,0.875116362,0.976033865,0.798769148,0.883737442,0.883180559,0.994734995,0.78671714,0.826607825,0.831926187,0.966392899,0.722316544,0.842936398,0.842241121,0.992554061
148,0.848304427,0.870952672,0.863666843,0.978063761,0.798769148,0.883737442,0.883387206,0.994990907,0.78671714,0.826607825,0.815343605,0.969213661,0.722316544,0.842936398,0.842502854,0.992915604
149,0.848304427,0.870952672,0.864312138,0.970327853,0.798769148,0.883666442,0.883307875,0.995151824,0.78671714,0.826607825,0.815310882,0.95831919,0.722316544,0.842840482,0.842400666,0.993142371
150,0.848304427,0.870952672,0.864263027,0.969192932,0.798769148,0.883777068,0.883140878,0.995247664,0.78671714,0.826607825,0.815252514,0.956686666,0.722316544,0.842987464,0.842190016,0.993277844
151,0.848304427,0.870952672,0.864915834,0.969567746,0.798769148,0.883773719,0.883220237,0.995279709,0.78671714,0.826607825,0.816188857,0.957183445,0.722316544,0.842921318,0.842292224,0.993323084
152,0.848304427,0.870952672,0.86406141,0.977158847,0.798769148,0.883737442,0.883211938,0.995343794,0.78671714,0.826607825,0.81495263,0.967959892,0.722316544,0.842936398,0.842285978,0.993413558
153,0.848304427,0.870952672,0.86406141,0.978561684,0.798769148,0.883737442,0.883316165,0.995311753,0.78671714,0.826607825,0.81495263,0.969906299,0.722316544,0.842936398,0.842406907,0.993368322
154,0.852339181,0.869711522,0.86406141,0.978959673,0.798769148,0.88370607,0.883220237,0.995375538,0.790827386,0.823000024,0.81495263,0.970460128,0.722316544,0.84289155,0.842292224,0.993458549
155,0.85210528,0.869711522,0.86406141,0.967785537,0.798769148,0.883753949,0.883211938,0.995312052,0.790615066,0.823000024,0.81495263,0.95460307,0.722316544,0.842948832,0.842285978,0.993368569
156,0.85210528,0.869711522,0.86406141,0.978462138,0.798769148,0.883745696,0.883211938,0.99528001,0.790615066,0.823000024,0.81495263,0.969767803,0.722316544,0.842942616,0.842285978,0.993323333
157,0.85210528,0.869711522,0.86406141,0.976966621,0.798769148,0.883874401,0.883316165,0.995311753,0.790615066,0.823000024,0.81495263,0.96768848,0.722316544,0.843082009,0.842406907,0.993368322
158,0.850489649,0.869711522,0.86406141,0.979357352,0.798769148,0.883897523,0.883355829,0.995375538,0.7885296,0.823000024,0.81495263,0.971013707,0.722316544,0.84312064,0.842457999,0.993458549
159,0.850489649,0.869711522,0.86406141,0.974843587,0.798769148,0.883742375,0.883355829,0.995279709,0.7885296,0.823000024,0.81495263,0.964734453,0.722316544,0.842876492,0.842457999,0.993323084
160,0.850489649,0.869711522,0.861167566,0.974374022,0.798769148,0.883742375,0.883370635,0.995374948,0.7885296,0.823000024,0.811366724,0.964084088,0.722316544,0.842876492,0.842490379,0.993458061
161,0.850489649,0.869434121,0.861167566,0.9728,0.798769148,0.883758865,0.883474802,0.995439033,0.7885296,0.822642291,0.811366724,0.961902676,0.722316544,0.842888924,0.842611266,0.993548535
162,0.850489649,0.882313191,0.869491942,0.964745347,0.798769148,0.883711033,0.883511337,0.995407285,0.7885296,0.841142311,0.822832894,0.950365693,0.722316544,0.842831669,0.842596349,0.993503541
163,0.851168433,0.882313191,0.863966988,0.965308228,0.798769148,0.883742375,0.883542687,0.995407285,0.789559597,0.841142311,0.815005523,0.951149584,0.722316544,0.842876492,0.84264118,0.993503541
164,0.851168433,0.87732714,0.863966988,0.964020412,0.798769148,0.883742375,0.883527867,0.995407285,0.789559597,0.834757175,0.815005523,0.949373158,0.722316544,0.842876492,0.842608806,0.993503541
165,0.851168433,0.87732714,0.86447782,0.963940988,0.798769148,0.883734128,0.883511337,0.995471361,0.789559597,0.834757175,0.815604139,0.949251098,0.722316544,0.842870275,0.842596349,0.993594008
166,0.852414144,0.876242936,0.86447782,0.968020239,0.798769148,0.883734128,0.883536131,0.995471361,0.791057876,0.833368191,0.815604139,0.955080719,0.722316544,0.842870275,0.842615034,0.993594008
167,0.854513501,0.879035974,0.863966988,0.967781747,0.798769148,0.883734128,0.883600511,0.995439615,0.794368709,0.83646704,0.815005523,0.95477166,0.722316544,0.842870275,0.842684761,0.993549016
168,0.854513501,0.882313191,0.864165589,0.967729356,0.798769148,0.883734128,0.883560915,0.995471361,0.794368709,0.841142311,0.815261434,0.954709875,0.722316544,0.842870275,0.842633715,0.993594008
169,0.854513501,0.882313191,0.863966988,0.96935102,0.798769148,0.883783592,0.883481715,0.995376423,0.794368709,0.841142311,0.815005523,0.956949369,0.722316544,0.842907569,0.842531618,0.993459279
170,0.854513501,0.882313191,0.864165589,0.970447984,0.798769148,0.883712685,0.883442111,0.995376423,0.794368709,0.841142311,0.815261434,0.958493598,0.722316544,0.842811723,0.842480566,0.993459279
171,0.854513501,0.882313191,0.864165589,0.972313073,0.798769148,0.883673108,0.883640104,0.995376423,0.794368709,0.841142311,0.815261434,0.961084549,0.722316544,0.842760689,0.842735805,0.993459279
172,0.854513501,0.87732714,0.864165589,0.97409226,0.798769148,0.883791832,0.883600511,0.995216227,0.794368709,0.834757175,0.815261434,0.963548208,0.722316544,0.842913783,0.842684761,0.993233107
173,0.854513501,0.87732714,0.861280168,0.97324577,0.798769148,0.88375226,0.883600511,0.995312351,0.794368709,0.834757175,0.811369021,0.962380174,0.722316544,0.842862754,0.842684761,0.993368816
174,0.854513501,0.87732714,0.8638632,0.974042347,0.798769148,0.88375226,0.883608767,0.995344091,0.794368709,0.834757175,0.814696984,0.963488374,0.722316544,0.842862754,0.842690985,0.993413803
175,0.854513501,0.87732714,0.861280168,0.972909991,0.798769148,0.88375226,0.883679694,0.995439615,0.794368709,0.834757175,0.811369021,0.961915269,0.722316544,0.842862754,0.842786847,0.993549016
176,0.854513501,0.87732714,0.864110526,0.972694588,0.798769148,0.883791832,0.883560915,0.995312052,0.794368709,0.834757175,0.815011006,0.961624964,0.722316544,0.842913783,0.842633715,0.993368569
177,0.857115568,0.87732714,0.864110526,0.973667184,0.798769148,0.883735773,0.883560915,0.99540787,0.797737928,0.834757175,0.815011006,0.962972233,0.722316544,0.842850321,0.842633715,0.993504025
178,0.855502026,0.87732714,0.863991626,0.966545384,0.798769148,0.883791832,0.883608767,0.995406992,0.79563549,0.834757175,0.814857637,0.952865594,0.722316544,0.842913783,0.842690985,0.993503299
179,0.857344406,0.87732714,0.864985681,0.974201474,0.798769148,0.88375226,0.883600511,0.995471072,0.798660439,0.834757175,0.816283899,0.963713676,0.722316544,0.842862754,0.842684761,0.99359377
180,0.857344406,0.876242936,0.862154686,0.979390477,0.798769148,0.88375226,0.883560915,0.995439033,0.798660439,0.833368191,0.812641664,0.971059827,0.722316544,0.842862754,0.842633715,0.993548535
181,0.857344406,0.879155149,0.864936607,0.980019462,0.798769148,0.883735773,0.883648356,0.99553486,0.798660439,0.836620476,0.816225565,0.971935783,0.722316544,0.842850321,0.842742027,0.993683998
182,0.857344406,0.878996243,0.864936607,0.978959673,0.798769148,0.883727527,0.883656608,0.995439033,0.798660439,0.83641589,0.816225565,0.970460128,0.722316544,0.842844104,0.842748248,0.993548535
183,0.857344406,0.879155149,0.862586645,0.979688514,0.798769148,0.883727527,0.883648356,0.995470783,0.798660439,0.836620476,0.812805095,0.971474832,0.722316544,0.842844104,0.842742027,0.993593531
184,0.857344406,0.879155149,0.868851309,0.965179262,0.798769148,0.88375226,0.883727527,0.995439033,0.798660439,0.836620476,0.821905521,0.950967984,0.722316544,0.842862754,0.842844104,0.993548535
185,0.859421222,0.882313191,0.868851309,0.976467142,0.798769148,0.883758865,0.883775351,0.995439033,0.801823051,0.841142311,0.821905521,0.966994589,0.722316544,0.842888924,0.842901355,0.993548535
