,Auto_Kappa,Auto_F1,IF_Kappa,IF_F1,OCSVM_Kappa,OCSVM_F1,Random_Kappa,Random_F1
601,0.162837231,0.167101828,0.063520701,0.068539326,0.531264368,0.532019704,0.629425307,0.630136986
602,0.162837231,0.167101828,0.064548876,0.069555302,0.523995393,0.524752475,0.635657432,0.636363636
603,0.162837231,0.167101828,0.062788127,0.067815453,0.531264368,0.532019704,0.626548868,0.627272727
604,0.162837231,0.167101828,0.061745543,0.066777963,0.531264368,0.532019704,0.626548868,0.627272727
605,0.162837231,0.167101828,0.06136842,0.066412629,0.523995393,0.524752475,0.626548868,0.627272727
606,0.162837231,0.167101828,0.061405028,0.066448802,0.531264368,0.532019704,0.626548868,0.627272727
607,0.162837231,0.167101828,0.061405028,0.066448802,0.531264368,0.532019704,0.629425307,0.630136986
608,0.162837231,0.167101828,0.061405028,0.066448802,0.5166544,0.517412935,0.629425307,0.630136986
609,0.162837231,0.167101828,0.061405028,0.066448802,0.531264368,0.532019704,0.629425307,0.630136986
610,0.162837231,0.167101828,0.061405028,0.066448802,0.523995393,0.524752475,0.629425307,0.630136986
611,0.162837231,0.167101828,0.061405028,0.066448802,0.531264368,0.532019704,0.635657432,0.636363636
612,0.162837231,0.167101828,0.061405028,0.066448802,0.531264368,0.532019704,0.623136232,0.623853211
613,0.162837231,0.167101828,0.061405028,0.066448802,0.531264368,0.532019704,0.623136232,0.623853211
614,0.162837231,0.167101828,0.061405028,0.066448802,0.531264368,0.532019704,0.623136232,0.623853211
615,0.162837231,0.167101828,0.061405028,0.066448802,0.531264368,0.532019704,0.635657432,0.636363636
616,0.162837231,0.167101828,0.06136842,0.066412629,0.531264368,0.532019704,0.635657432,0.636363636
617,0.162837231,0.167101828,0.061405028,0.066448802,0.531264368,0.532019704,0.629425307,0.630136986
618,0.162837231,0.167101828,0.061405028,0.066448802,0.531264368,0.532019704,0.629425307,0.630136986
619,0.162837231,0.167101828,0.061405028,0.066448802,0.523995393,0.524752475,0.623136232,0.623853211
620,0.162837231,0.167101828,0.061478364,0.066521265,0.523995393,0.524752475,0.635657432,0.636363636
621,0.162837231,0.167101828,0.06041809,0.065466448,0.531264368,0.532019704,0.629425307,0.630136986
622,0.162837231,0.167101828,0.061478364,0.066521265,0.5166544,0.517412935,0.635657432,0.636363636
623,0.162837231,0.167101828,0.061478364,0.066521265,0.523995393,0.524752475,0.623136232,0.623853211
624,0.162837231,0.167101828,0.061405028,0.066448802,0.538462379,0.539215686,0.629425307,0.630136986
625,0.162837231,0.167101828,0.061405028,0.066448802,0.531264368,0.532019704,0.629425307,0.630136986
626,0.162837231,0.167101828,0.061405028,0.066448802,0.531264368,0.532019704,0.635657432,0.636363636
627,0.162837231,0.167101828,0.061405028,0.066448802,0.531264368,0.532019704,0.635657432,0.636363636
628,0.162837231,0.167101828,0.061405028,0.066448802,0.471034275,0.471794872,0.623136232,0.623853211
629,0.162837231,0.167101828,0.061405028,0.066448802,0.478830741,0.479591837,0.632765868,0.633484163
630,0.162837231,0.167101828,0.061405028,0.066448802,0.471034275,0.471794872,0.629425307,0.630136986
631,0.162837231,0.167101828,0.061405028,0.066448802,0.478830741,0.479591837,0.629425307,0.630136986
632,0.162837231,0.167101828,0.061405028,0.066448802,0.471034275,0.471794872,0.623136232,0.623853211
