,Auto_Kappa,Auto_F1,IF_Kappa,IF_F1,OCSVM_Kappa,OCSVM_F1,Random_F1,Random_Kappa
147,0.9539942676297296,0.9673899088458082,0.9271128219269444,0.9482045982950142,0.9542232402530582,0.9675535158381208,0.9639358719959684,0.9813164190402361
148,0.9542625360163048,0.967578325629173,0.9260059413908974,0.94743296008261,0.9543650458569166,0.9676570621831482,0.963963963963964,0.9721256697847289
149,0.9540831138842044,0.967452012582654,0.9278274991547032,0.948752659060143,0.9543667511476908,0.967659137577002,0.963900963900964,0.9719479174302662
150,0.9543137976412815,0.9676177027504091,0.9284330988682222,0.949120765451254,0.9540386899267618,0.9674209597175412,0.9638121633964286,0.9712826463452997
151,0.953292462820663,0.966903983067154,0.9271592681027102,0.948261402490162,0.9541736797345316,0.9675162097964948,0.9636747424466778,0.969017659802892
152,0.9546573860271372,0.9678517519349972,0.927716459559587,0.9486168562564632,0.9542693735238056,0.967586649550706,0.9626849194082578,0.968926704236703
153,0.954665861185404,0.9678620733939064,0.925595739599996,0.947140828707887,0.9540472778384824,0.9674314134445692,0.9633131618759456,0.9663609465808084
154,0.953948125768982,0.9673567645642752,0.9241465237884808,0.9461367372594526,0.9542249510665906,0.967555598344084,0.962647485645782,0.9767101658130204
155,0.9539925480338776,0.967387815368813,0.9258135952460764,0.9473141162055846,0.9543137976412815,0.9676177027504091,0.9632804866517476,0.9781386966960499
156,0.953955009893214,0.967365144562462,0.9259817002854702,0.94744981795921,0.9543069666482744,0.9676093865365478,0.9650685364158929,0.9777392348002558
157,0.952483121925493,0.9663332050788764,0.9253071784101382,0.9469508852268697,0.9540386899267618,0.9674209597175412,0.9670871668405576,0.9730593027042457
158,0.9540011447278818,0.9673982800667436,0.9259872452870564,0.9474565896717244,0.9521371794327422,0.966096263539063,0.9665192672141504,0.9668414295230571
159,0.9530985815326142,0.966783048784394,0.9251805604481008,0.9469353646385756,0.954265955025617,0.9675824881242778,0.9633946572580644,0.9726125917217019
160,0.9544351585877648,0.9676963586153746,0.9260101166630256,0.9475307650290784,0.9524866715631048,0.9663375224416516,0.9633827650262902,0.9697703488965376
161,0.9543086745880256,0.9676114659904342,0.9254148405051617,0.947128503097814,0.953237595274588,0.9668602226428412,0.9633059308954612,0.9731007836457853
162,0.9540882621318204,0.9674582798459562,0.926957511713342,0.9482005141388176,0.9527564116859611,0.9665277332478358,0.963699902402166,0.9665796391049828
163,0.9540386899267618,0.9674209597175412,0.9250338406812398,0.9468026904386444,0.9542556964638508,0.9675699974312868,0.9634553588305717,0.9674205099790708
164,0.9540369719592132,0.9674188681667898,0.9247048517140216,0.9465864874425184,0.9538627350512916,0.9672988671737108,0.9631379962192816,0.9662245147019058
165,0.9531096741114562,0.9667735728030789,0.9263698363323896,0.9477844542270492,0.952882489301633,0.9666121427884152,0.9658133148142304,0.9883681576736248
166,0.9530226623659532,0.9667136993329912,0.9264192751833225,0.9478216167587712,0.952436979418392,0.9663000609228204,0.9638144427298208,0.9880524529368155
167,0.9543548114351856,0.9676446042241766,0.925205740586914,0.946966046705856,0.9529782831084052,0.9666827000160332,0.9639336000251992,0.9883226794601889
168,0.9552320233081772,0.9682519280205656,0.9249124902474858,0.946770258122512,0.9548008829016252,0.9679573621010724,0.9640922262819706,0.9883681576736248
169,0.954758130150894,0.9679283444091304,0.9244057704826868,0.9464297170719188,0.9548897759188072,0.9680195222193682,0.9631496062992126,0.9881862346249934
170,0.9552898767604509,0.9682993415770036,0.9252591996305816,0.946961894953656,0.954585469805952,0.9678102634872752,0.9642350716874114,0.9882776374998787
171,0.9546522994109636,0.9678455558767788,0.9246166091172092,0.946571254372172,0.954358223419112,0.9676487579433852,0.9640663874279596,0.9880983756839566
172,0.954358223419112,0.9676487579433852,0.9276175258558302,0.9486354273944386,0.9548453285794188,0.9679884411623052,0.9636065986651556,0.9882317179359684
173,0.9540882621318204,0.9674582798459562,0.9272769184191582,0.9483819030751892,0.9548402638045468,0.967982273033816,0.9637726814516128,0.9881862346249934
174,0.9543137976412815,0.9676177027504091,0.92527200078926,0.9470236948564824,0.9528433937884918,0.9665875713461168,0.9634995118571472,0.9881862346249934
