,Random_Knn,Random_Lightgbm,Random_GradientBoosting,Random_Catboost,Uncertainty_Knn,Uncertainty_Lightgbm,Uncertainty_GradientBoosting,Uncertainty_Catboost,Entropy_Knn,Entropy_Lightgbm,Entropy_GradientBoosting,Entropy_Catboost,Margin_Knn,Margin_Lightgbm,Margin_GradientBoosting,Margin_Catboost,Knn_light,Knn_gradient,Knn_catboost,light_gradient,light_catboost,gradient_catboost,Knn_gb_cb,Knn_lg_cb,lg_gb_cb,Knn_lg_gb,Knn_lg_gb_cb
90,0.76888932,0.0,0.0,0.956999425,0.786985014,0.0,0.0,0.992739167,0.786985014,0.0,0.0,0.992739167,0.786985014,0.0,0.0,0.992739167,0.800982946962222,0.800982946962222,0.8698261249088837,0.0,0.981516215915278,0.970726103590302,0.8152096997294884,0.8962337601694852,0.970726103590302,0.9763976013513254,0.7699306708849627
91,0.770630682,0.0,0.0,0.956606246,0.786985014,0.0,0.0,0.992739167,0.786985014,0.0,0.0,0.992739167,0.786985014,0.0,0.0,0.992739167,0.800982946962222,0.800982946962222,0.8710237409362401,0.0,0.9879272834478472,0.9738032342841104,0.8176316019494685,0.8964686973213964,0.9738051774261376,0.9778436647698716,0.7718417252945245
92,0.770630682,0.0,0.0,0.959001178,0.786985014,0.0,0.0,0.992739167,0.786985014,0.0,0.0,0.992739167,0.786985014,0.0,0.0,0.992739167,0.800982946962222,0.800982946962222,0.8725550509674321,0.0,0.9872488029900076,0.9765176693773776,0.8177299158932575,0.9077691311627726,0.9765176693773776,0.977076258978169,0.7699306708849627
93,0.770630682,0.0,0.0,0.960386942,0.788143215,0.0,0.0,0.992739167,0.788143215,0.0,0.0,0.992739167,0.788143215,0.0,0.0,0.992739167,0.8131365459291379,0.8131365459291379,0.8804486089931135,0.0,0.9876096141714348,0.9771610326623262,0.8177299158932575,0.9056685679599448,0.9758702175138376,0.9803118372339852,0.7712209346687704
94,0.772786053,0.0,0.0,0.961764961,0.788143215,0.0,0.0,0.992739167,0.788143215,0.0,0.0,0.992739167,0.788143215,0.0,0.0,0.992739167,0.8225855834868708,0.8225855834868708,0.8815596008428984,0.0,0.9877005140374604,0.9769366676185892,0.8177299158932575,0.905215769679121,0.9769366676185892,0.976993557705646,0.7699306708849627
95,0.772786053,0.0,0.0,0.960123062,0.788143215,0.0,0.0,0.992739167,0.788143215,0.0,0.0,0.992739167,0.788143215,0.0,0.0,0.992739167,0.8225855834868708,0.8225855834868708,0.8816490542114653,0.0,0.9882488403510674,0.971293611641367,0.8194982989509286,0.9123087843401662,0.9709833955649052,0.9804038465697203,0.7718894663806061
96,0.772786053,0.0,0.0,0.957686354,0.796148992,0.0,0.0,0.992874064,0.796148992,0.0,0.0,0.992874064,0.796148992,0.0,0.0,0.992874064,0.8225855834868708,0.8225855834868708,0.8816168693643766,0.0,0.9887041793121848,0.9718986748228936,0.8194982989509286,0.9116510749002856,0.9718986748228936,0.9786378071426378,0.7699306708849627
97,0.772786053,0.0,0.0,0.959540591,0.796148992,0.0,0.0,0.992874064,0.796148992,0.0,0.0,0.992874064,0.796148992,0.0,0.0,0.992874064,0.8240734336136285,0.8240734336136285,0.8833283662915071,0.0,0.9883859471434416,0.974560986394312,0.8262758986613548,0.9136904294485308,0.974295129386021,0.9758140277834916,0.7721281460220328
98,0.772786053,0.0,0.0,0.958578126,0.796148992,0.0,0.0,0.992874064,0.796148992,0.0,0.0,0.992874064,0.796148992,0.0,0.0,0.992874064,0.8240734336136285,0.8240734336136285,0.8841357721101064,0.0,0.9893395283924544,0.9763342130957748,0.8262758986613548,0.91294396772431,0.9763342130957748,0.9747088743917612,0.7699306708849627
99,0.772786053,0.0,0.0,0.958936824,0.796148992,0.0,0.0,0.992829096,0.796148992,0.0,0.0,0.992829096,0.796148992,0.0,0.0,0.992829096,0.8240734336136285,0.8240734336136285,0.8875496892814313,0.0,0.9891588424330044,0.9766059026442612,0.8305630038515903,0.909154643717058,0.9766067713507828,0.9748923803123908,0.7716984917190157
