,datetime,latitude,longitude,pressure,salinity,temperature,label,score
17676,-0.6516973706125953,-0.7527853382911472,-0.905572588768094,-0.4699973862535378,1.6713977988127262,1.1929019313678646,0,0.4269265372800526
11421,-1.120921260746916,-0.6928934498811593,-1.4367721201869363,-0.2225070748289803,-0.0449308395532851,-0.0846548031571267,0,0.4269197959870123
3752,-1.120921260746916,-0.6928934498811593,-1.4367721201869363,-0.2599851438168736,0.0293333803760168,0.0134937935934578,0,0.4269197959870123
430,-1.1166739833916737,-0.6994036938321031,-1.4280587859115106,-0.2160919098670885,-0.0036729395926008,-0.0177057603405028,0,0.4269197959870123
4025,-1.120921260746916,-0.6928934498811593,-1.4367721201869363,-0.2366879657973724,-0.0036729395926008,-0.0398054443770583,0,0.4269197959870123
1261,-1.1166739833916737,-0.6994036938321031,-1.4280587859115106,-0.2231823553512846,-0.0366792595611599,0.0199937006630328,0,0.4269197959870123
10941,-1.1166739833916737,-0.6994036938321031,-1.4280587859115106,-0.2485053749376991,0.1366039202738778,0.0976675901444555,0,0.4269197959870123
6334,-1.120921260746916,-0.6928934498811593,-1.4367721201869363,-0.2022486591598487,-0.0531824195454102,-0.126904199109365,0,0.4269197959870123
12302,-1.1166739833916737,-0.6994036938321031,-1.4280587859115106,-0.2052874215102184,-0.1604529594433299,-0.0931046823475743,0,0.4269197959870123
15597,-1.1166739833916737,-0.6994036938321031,-1.4280587859115106,-0.2447913320650249,0.1283523402817527,0.0937676459027105,0,0.4269197959870123
14055,0.5075662985929089,1.375455816169371,1.049438820436596,-0.3606019416402272,0.6151955598182487,0.5055367587602949,0,0.4268915648033375
3213,0.5075662985929089,1.375455816169371,1.049438820436596,-0.3643159845129013,0.6482018797868078,0.5035867866394222,0,0.4268915648033375
3201,-0.4329777773660883,-0.915938020079872,-0.2092549991878102,-0.897112316611062,-2.058316357636504,0.8653066150612779,0,0.426880706695043
13648,-0.804842404177018,-0.6504590672648363,-1.200839538931581,-0.7813017070358599,1.81992623867133,1.3501996824515825,0,0.42687186406294
5725,-0.804842404177018,-0.6504590672648363,-1.200839538931581,-0.8717892970246476,1.885938878608507,1.457448149099572,0,0.42687186406294
15930,-0.804842404177018,-0.6504590672648363,-1.200839538931581,-0.8376876306482762,1.803423078687021,1.3833492085064152,0,0.42687186406294
13358,-0.8092233583588919,-0.6551670181075296,-1.1992889241269915,-0.7320062289076397,1.7539135987341532,1.3102252539736952,0,0.42687186406294
2819,-0.1354982283561291,-0.4910405483213151,0.2484902275481005,0.8727979323487342,-0.7958246188384297,-1.3176871742555278,0,0.42687183668596973
14050,0.4900424818654135,1.284928871483588,0.8388279657612406,-0.6077546128036326,1.1102903593469284,0.7369334504371693,0,0.42686360661647915
14323,0.4900424818654135,1.284928871483588,0.8388279657612406,-0.4889052408780606,1.1102903593469284,0.7353084736697756,0,0.42686360661647915
16810,0.4900424818654135,1.284928871483588,0.8388279657612406,-0.5554203723250426,1.1102903593469284,0.7362834597302118,0,0.42686360661647915
392,-0.4023597078481099,-0.8514284918108294,-0.1872661603323724,-0.5861456360898923,-0.3419877192704929,0.0268186030860866,0,0.4268600778757652
8965,-0.4023597078481099,-0.8514284918108294,-0.1872661603323724,-0.5925608010517839,-0.3419877192704929,0.0391684265182794,0,0.4268600778757652
1457,-0.4023597078481099,-0.8514284918108294,-0.1872661603323724,-0.6020147283640453,-0.325484559286184,0.0437183614669821,0,0.4268600778757652
9105,-0.8360073334403066,-0.691079377079387,-1.2349549328431484,-0.3268379155250079,1.0690324593861855,0.849381842740819,0,0.42685990616523367
6528,-1.1166739833916737,-0.6994036938321031,-1.4280587859115106,-0.5010602902795396,0.2026165602110547,0.5364113173407766,0,0.42685519942191186
16094,-0.2973687129679456,-0.7395567424704398,0.0106464668408237,-0.769146657634381,-1.2249067784299326,0.3599388404018119,0,0.42685426624729694
16371,-0.2973687129679456,-0.7395567424704398,0.0106464668408237,-0.7897427135646647,-1.3239257383356684,0.4207129715023395,0,0.42685426624729694
15129,-0.2973687129679456,-0.7395567424704398,0.0106464668408237,-0.7870415914754473,-1.3486804783121025,0.4054381898888377,0,0.42685426624729694
2979,0.118238617248407,-0.2145240226799196,0.2759136910620319,-0.5290844319551716,-0.119195059482587,0.059643133787441,0,0.4268307442059862
275,-0.065542714492171,-0.4382950073122437,0.2597611421457944,-0.059764468953623,-0.4410066791762288,-0.0869297706314779,0,0.42682933133894907
18868,-0.1004931284368845,-0.4281644708867672,0.2558285588160835,-0.2765295166133311,0.9947682394568836,0.7642330601293847,0,0.4268213253581728
15166,-0.109285417897594,-0.4416443668358602,0.2629557822853694,-0.2137284280390232,0.9535103394961992,0.794457628002909,0,0.4268213253581728
704,-0.358617004442687,-0.8729971106422763,-0.0340990454299147,-0.1549790225985416,-0.7215603989091277,-0.4135501008776279,0,0.42681322744802846
2336,0.1838982440019839,-0.3755759924579354,0.6045599601575585,0.6435401950263951,-0.7793214588541209,-1.2182385960910285,0,0.4268118498354289
